,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
93,Day for Night,François Truffaut,"['François Truffaut', 'Suzanne Schiffman', 'Jean-Louis Richard']",Marcel Berbert,"['Jacqueline Bisset', 'Valentina Cortese', 'Dani', 'Alexandra Stewart', 'Jean-Pierre Aumont', 'Jean Champion', 'Jean-Pierre Léaud', 'François Truffaut']",Pierre-William Glenn,"Martine Barraquè-Curie, Yann Dedet",Georges Delerue,Warner Bros.,"['14 May 1973 ( Cannes )', '24 May 1973 (France)']",116 minutes,France,French,116,1973-05-14,N/A,N/A,,"When a young filmmaker enters an ancient house in search for his feature film location, he faces a controversial situation with the residents.",Short,N/A,,,,,"$700,000","839,583 admissions (France)","['Les Films du Carrosse', 'PECF', 'Produzione Internazionale Cinematografica']",,,,,,,La Nuit américaine,,American Night,,,,,,,,,,,,,,,,,,,,,
94,The House on Chelouche Street,Moshé Mizrahi,"Rachel Fabien , Yerech Guber , Moshé Mizrahi","['Yoram Globus', '(executive producer),', 'Menahem Golan', '(producer)']",Gila Almagor,Adam Greenberg,Dov Hoenig,Dov Seltzer,,['1973'],110 minutes,Israel,Hebrew and Ladino,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,The Invitation,Claude Goretta,"['Michel Viala', 'Claude Goretta']",,Jean-Luc Bideau,,,,Janus Films (USA),['May 1973 (Cannes)'],100 minutes,Switzerland,French,100,1973-05-01,6.6,74,89%,"A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.","Drama, Mystery, Thriller",4 wins & 15 nominations,,,,,,$1.5 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,The Pedestrian,Maximilian Schell,,"['Zev Braun', 'Maximilian Schell', 'Franz Seitz Jr.']",,,,Manos Hatzidakis,Cinerama Releasing Corporation,['6 September 1973'],97 minutes,,German,97,1973-09-06,5.9,N/A,,N/A,"Comedy, Drama, Romance",N/A,,,,,,,"['Alfa Film', 'Braun', 'Braun Entertainment Group', 'Franz Seitz Filmproduktion', 'MFG-Film']","['Germany', 'Switzerland', 'Israel']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Turkish Delight,Paul Verhoeven,,Rob Houwer,"['Monique van de Ven', 'Rutger Hauer']",Jan de Bont,Jan Bosdriesz,Rogier van Otterloo,Nederland Film,['22 February 1973 (Netherlands)'],108 minutes,Netherlands,Dutch,108,1973-02-22,6.7,N/A,,N/A,Adult,N/A,Gerard Soeteman,,"['Turks Fruit', 'by', 'Jan Wolkers']",VNF,"€365,000",,,,,,,,,,,,Turks fruit,,,,,,,,,,,,,,,,,,,,
98,Amarcord,Federico Fellini,"['Federico Fellini', 'Tonino Guerra']",Franco Cristaldi,"['Bruno Zanin', 'Magali Noël', 'Pupella Maggio', 'Armando Brancia']",Giuseppe Rotunno,Ruggero Mastroianni,Nino Rota,"['PIC Distribuzione', 'Warner Bros.']",['18 December 1973 (Italy)'],124 minutes,,Italian,124,1973-12-18,7.9,N/A,87%,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,"Comedy, Drama",Won 1 Oscar. 20 wins & 8 nominations total,,,,,,,,"['Italy', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Macskajáték,Károly Makk,"['Károly Makk', 'István Örkény']",,,János Tóth,György Sívó,Péter Eötvös,,['1972'],115 minutes,Hungary,Hungarian,115,,6.6,N/A,,"The story of two elderly sisters who exchange letters, and through brief flashbacks we see glimpses of their younger years.","Drama, Music",Nominated for 1 Oscar. 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,The Deluge,Jerzy Hoffman,"['Jerzy Hoffman', 'Adam Kersten', 'Wojciech Zukrowski']",,"['Daniel Olbrychski', 'Małgorzata Braunek', 'Tadeusz Łomnicki', 'Krzysztof Kowalewski']",Jerzy Wójcik,Zenon Piórecki,Kazimierz Serocki,,['1974'],287 minutes,,Polish,287,,5.4,N/A,,"A stone building, newly restored, stands in the clear light of the autumnal equinox. People move along the street immersed in the flow of day-to-day events. Small incidents play out, ...",Short,N/A,,,"['The Deluge', 'by', 'Henryk Sienkiewicz']",Zespoły Filmowe,,,,"Poland, USSR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Lacombe Lucien,Louis Malle,,"['Louis Malle', 'Claude Nedjar']","['Pierre Blaise', 'Aurore Clément']",Tonino Delli Colli,Suzanne Baron,Django Reinhardt,"['Cinema International Corporation', '(France, original)', '20th Century Fox', '(1975, worldwide)']",['30 January 1974 (France)'],138 minutes,,,138,1974-01-30,7.7,N/A,100%,"In 1944, an 18-year old boy from small-town France, collaborates with the Nazi-regime and subsequently falls in love with a Jewish girl.","Drama, Romance, War",Nominated for 1 Oscar. 6 wins & 4 nominations total,"['Louis Malle', 'Patrick Modiano']",,,,,$13.1 million,"['Nouvelles Éditions de Films', 'Universal Pictures France']","['France', 'West Germany', 'Italy']","['French', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,The Truce,Sergio Renán,"['Aída Bortnik', 'Sergio Renán']","['Rene Aure', 'Tita Tamames', 'Rosa Zemborain']","['Héctor Alterio', 'Luis Brandoni', 'Ana María Picchio', 'Marilina Ross']",Juan Carlos Desanzo,Óscar Souto,Julián Plaza,,"['August 1, 1974']",108 minutes,Argentina,Spanish,108,1974-08-01,6.0,N/A,,"""The Truce"" studies the relationship between enemy soldiers during a Christmas Day ceasefire at the beginning of World War I. The film focuses on the true occurrence of a soccer game played...",Short,1 win.,,,The Truce by Mario Benedetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Dersu Uzala (Дерсу Узала) (デルス·ウザーラ),Akira Kurosawa,,"['Yoichi Matsue', 'Nikolai Sizov']","['Maxim Munzuk', 'Yury Solomin']","['Asakazu Nakai', 'Yuri Gantman', 'Fyodor Dobronravov']",Valentina Stepanova,Isaak Shvarts,"['Mosfilm', 'Daiei Film']","['July 1975 (USSR)', '2 August 1975 (Japan)']",144 minutes,,Russian,144,1975-07-01,8.3,N/A,73%,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Adventure, Biography, Drama",Won 1 Oscar. 8 wins & 2 nominations total,"['Akira Kurosawa', 'Yuri Nagibin']",,"['Dersu Uzala', 'by', 'Vladimir Arsenyev']",,$4 million (est.),,"['Daiei Film', 'Mosfilm']","['Soviet Union', 'Japan']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Letters from Marusia,Miguel Littín,"['Miguel Littín', 'Patricio Manns', 'Freddy Taverna G.']","['Anuar Badin', 'Arturo Feliu']",Armando Acosta,Jorge Stahl Jr.,,Mikis Theodorakis,,['8 April 1976'],110 minutes,Mexico,Spanish,110,1976-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,The Promised Land,Andrzej Wajda,Andrzej Wajda,,"Daniel Olbrychski , Wojciech Pszoniak , Andrzej Seweryn","Wacław Dybowski , Edward Kłosiński , Witold Sobociński","Zofia Dwornik , Halina Prugar",Wojciech Kilar,,['1975'],180 minutes,Poland,,180,,7.0,N/A,,A socialist epic recounting the struggles of revolutionary Chilean peasants in the 1920s and 1930s.,"Drama, History",1 nomination.,,,,,,,,,"Polish, German",,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Sandakan No. 8,Kei Kumai,"['Kei Kumai', 'Sakae Hirozawa', 'Tomoko Yamazaki', '(Story)']",,"['Kinuyo Tanaka', 'Yoko Takashi', 'Komaki Kurihara']",Mitsuji Kaneo,,,,"['November 2, 1974']",121 minutes,Japan,Japanese,121,1974-11-02,,,,,,,,,,,,,"['Toho', 'Haiyūza Eiga']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Scent of a Woman,Dino Risi,,"['Pio Angeletti', 'Adriano De Micheli']","['Vittorio Gassman', 'Alessandro Momo', 'Agostina Belli']",Claudio Cirillo,,Armando Trovajoli,,['20 December 1974'],103 minutes,Italy,Italian,103,1974-12-20,8.0,59,89%,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Drama,Won 1 Oscar. 6 wins & 14 nominations total,"['Ruggero Maccari', 'Dino Risi']",,"['Il buio e il miele', 'by', 'Giovanni Arpino']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Black and White in Color,Jean-Jacques Annaud,,"['Arthur Cohn', 'Jacques Perrin', 'Giorgio Silvagni']",,Claude Augostini,Françoise Bonnot,Pierre Bachelet,Allied Artists (USA),['22 September 1976'],90 minutes,,French,90,1976-09-22,N/A,N/A,,N/A,Adult,N/A,Georges Conchon,Jean-Jacques Annaud,,,,,"['France 3 Cinéma', 'Reggane Films', 'Smart Film Produktion', 'Société Française de Production (SFP)', 'Société Ivoirienne de Cinema']","['France', 'Ivory Coast']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Cousin Cousine,Jean-Charles Tacchella,"['Jean-Charles Tacchella', 'Danièle Thompson']",Daniel Toscan du Plantier,"['Marie-Christine Barrault', 'Victor Lanoux', 'Marie-France Pisier']","['Eric Faucherre', 'Georges Lendi', 'Michel Thiriet']","['Marie-Aimée Debril', 'Agnès Guillemot']",Gérard Anfosso,Gaumont,['19 November 1975 (France)'],95 minutes,France,French,95,1975-11-19,6.7,N/A,100%,"Two distant cousins meet at a wedding banquet for an elderly couple. Over time, a close friendship develops between them, but their spouses begin to think that they are more than just friends.","Comedy, Romance",Nominated for 3 Oscars. 5 wins & 9 nominations total,,,,,"$400,000",$8.7 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jacob the Liar,Frank Beyer,"['Jurek Becker', 'Frank Beyer']",Herbert Ehler,Vlastimil Brodský,Günter Marczinkowsky,Rita Hiller,Joachim Werzlau,Progress Film,"['22 December 1974 (GDR TV)', '18 April 1975 (GDR cinema)', '31 October 1975 (FRG)']",100 minutes,,German,100,1974-12-22,,,,,,,,,,,"2,411,600 East German Mark",,"['DEFA', 'DFF', 'Barrandov Studios']","['German Democratic Republic', 'Czechoslovakia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Nights and Days,Jerzy Antczak,"['Jerzy Antczak', 'Maria Dąbrowska']",,"['Jadwiga Barańska', 'Jerzy Bińczycki', 'Beata Tyszkiewicz', 'Andrzej Seweryn', 'Jerzy Kamas', 'Elżbieta Starostecka']",Stanisław Loth,,Waldemar Kazanecki,Studio Filmowe Kadr,['23 September 1975'],632 minutes (TV version),Poland,Polish,632,1975-09-23,8.3,N/A,,N/A,Drama,1 win & 1 nomination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Seven Beauties,Lina Wertmüller,Lina Wertmüller,"['Arrigo Colombo', 'Lina Wertmüller']","['Giancarlo Giannini', 'Fernando Rey']",Tonino Delli Colli,Franco Fraticelli,Nando de Luca e Enzo Jannacci,Medusa Distribuzione,"['4 May 1975 (France)', '20 December 1975 (Italy)']",115 minutes,Italy,Italian,115,1975-05-04,7.0,N/A,,N/A,Adult,N/A,,,,Medusa Distribuzione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Madame Rosa,Moshé Mizrahi,Moshé Mizrahi,Jean Bolvary,"['Simone Signoret', 'Michal Bat-Adam', 'Samy Ben-Youb', 'Gabriel Jabbour', 'Geneviève Fontanel']",Néstor Almendros,Sophie Coussein,"['Dabket Loubna', 'Philippe Sarde']",,['2 November 1977'],105 minutes,France,French,105,1977-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Iphigenia,Michael Cacoyannis,"['Michael Cacoyannis', 'Euripides', '(play)']",Michael Cacoyannis,,Giorgos Arvanitis,Takis Yanopoulos,Mikis Theodorakis,Cinema V ( USA ),,127 minutes,Greece,Greek,127,,N/A,N/A,,"Anna-Lena Laurin's orchestral work, Iphigenia, commissioned by the Royal Stockholm Philharmonic Orchestra, had its world premiere together with globally renowned artists: Anders Bergcrantz, Richie Beirach, and Thomas Sondergard. Iphi","Documentary, Music",N/A,,,,Greek Film Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Operation Thunderbolt,Menahem Golan,"['Ken Globus', 'Menahem Golan', 'Clarke Reynolds']","['Sybil Danning', 'Menahem Golan', 'Yoram Globus', 'Rony Yakov']","['Klaus Kinski', 'Yehoram Gaon', 'Sybil Danning', 'Assi Dayan', 'Gila Almagor', 'Arik Lavie', 'Ori Levy', 'Mark Heath']",Adam Greenberg,Dov Hoenig,Dov Seltzer,"['Cannon Film Distributors (Us)', 'EMI Films (U.K)']","['May 23, 1979', 'U.S Release']",124 minutes,Israel,,124,1979-05-23,8.6,N/A,,The story of the hijacking of Air France Flight AF139 on 27 June 1976 from Athens and the subsequent mission to rescue the hostages from the airport terminal at Entebbe in Uganda. The movie...,"Documentary, History",N/A,,,,,,,,,"['Hebrew', 'English', 'Arabic', 'German', 'French', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,A Special Day,Ettore Scola,"['Ruggero Maccari', 'Ettore Scola', 'Maurizio Costanzo']",Carlo Ponti,"['Sophia Loren', 'Marcello Mastroianni', 'John Vernon', 'Françoise Berd']",Pasqualino De Santis,Raimondo Crociani,Armando Trovajoli,Gold Film,"['17 May 1977 ( Cannes )', '12 August 1977 (Italy)']",106 minutes,,Italian,106,1977-05-17,N/A,N/A,,"A few months after Paris attacks, Thomas Sankara, young black Muslim, dishwasher in a restaurant in Rome, receives good news he had been waiting for long time and decides to gather his friends to celebrate, but one of them ruin everything.","Short, Drama",1 nomination.,,,,,,,"['Compagnia Cinematografica Champion', 'Canafox Films']","['Italy', 'Canada']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,That Obscure Object of Desire,Luis Buñuel,,Serge Silberman,"['Fernando Rey', 'Carole Bouquet', 'Ángela Molina', 'Julien Bertheau', 'André Weber', 'Milena Vukotic']",Edmond Richard,Hélène Plemiannikov,,"['GEF-CCFC (France)', 'InCine (Spain)']",['17 August 1977 (France)'],102 minutes,,,102,1977-08-17,N/A,N/A,,"My experience of collaborating in an untimely manner with Gus Van Sant was not a happy one. Had he heeded my suggestions, he would not have tried to do a remake of Hitchcock's ""Psycho"" (1960) in which he reproduced each frame of the ","Short, Horror",N/A,"['Luis Buñuel', 'Jean-Claude Carrière']",,"['The Woman and the Puppet', 'by', 'Pierre Louÿs']",,,,"['Greenwich Film Productions', 'Les Films Galaxie', 'InCine']","['France', 'Spain']","['French', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Get Out Your Handkerchiefs,Bertrand Blier,Bertrand Blier,"['Paul Claudon', 'Georges Dancigers', 'Alexandre Mnouchkine']","['Gérard Depardieu', 'Patrick Dewaere', 'Carole Laure']",Jean Penzer,Claudine Merlin,Georges Delerue,Compagnie Commerciale Française Cinématographique,['11 January 1978'],105 minutes,France,French,105,1978-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,The Glass Cell,Hans W. Geißendörfer,,"['Bernd Eichinger', 'Luggi Waldleitner']","['Brigitte Fossey', 'Helmut Griem', 'Dieter Laser']",Robby Müller,Peter Przygodda,Niels Janette Walen,Filmverlag der Autoren,['6 April 1978'],93 minutes,West Germany,German,93,1978-04-06,,,,,,,"['Klaus Bädekerl', 'Hans W. Geißendörfer']",,"['The Glass Cell', 'by', 'Patricia Highsmith']",,,,"['Bayerischer Rundfunk', 'Roxy Film', 'Solaris Film']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Hungarians,Zoltán Fábri,"['József Balázs', 'Zoltán Fábri']",,Gábor Koncz,György Illés,,,,['8 February 1978'],107 minutes,Hungary,Hungarian,107,1978-02-08,N/A,N/A,,N/A,Adult,N/A,,,,Mafilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,I nuovi mostri,"['Dino Risi', 'Ettore Scola', 'Mario Monicelli']","['Agenore Incrocci', 'Ruggero Maccari', 'Giuseppe Moccia', 'Ettore Scola', 'Bernardino Zapponi']","['Pio Angeletti', 'Adriano De Micheli']","['Vittorio Gassman', 'Ornella Muti', 'Ugo Tognazzi', 'Alberto Sordi']",Tonino Delli Colli,Alberto Gallitti,Armando Trovajoli,Titanus,['15 December 1977'],"['115 minutes', '106 minutes (alternative cut)', '102 minutes (French cut)', '87 minutes (cut edition)']",Italy,Italian,115,1977-12-15,7.0,N/A,,Several episodes depicting Italian's life in short humoristic stories.,Comedy,Nominated for 1 Oscar. 1 nomination total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,White Bim Black Ear,Stanislav Rostotsky,,,"['Vyacheslav Tikhonov', 'Valentina Vladimirova', 'Mikhail Dadyko', 'Ivan Ryzhov', 'Irina Shevchuk']",Vyacheslav Shumsky; Sergey Serebryannikov,,Andrei Petrov,,"['September 15, 1977']",183 minutes,Soviet Union,Russian,183,1977-09-15,,,,,,,"['Stanislav Rostotsky', 'Gavriil Troyepolsky']",,"['White Bim Black Ear', 'by Gavriil Troyepolsky']",Gorky Film Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,The Tin Drum,Volker Schlöndorff,"['Volker Schlöndorff', 'Jean-Claude Carrière', 'Franz Seitz']","['Franz Seitz', 'Anatole Dauman']","['David Bennent', 'Mario Adorf', 'Angela Winkler', 'Daniel Olbrychski', 'Katharina Thalbach', 'Charles Aznavour']",Igor Luther,Suzanne Baron,Maurice Jarre,"['United Artists', 'New World Pictures']","['3 May 1979 ( Wiesbaden )', '19 September 1979 (France)']","['142 minutes', '162 minutes']",,,142,1979-05-03,,,,,,,,,"['The Tin Drum', 'by', 'Günter Grass']",,$3 million,"['$13 million (Germany - 25 million Marks)', '$4 million (US)']","['Jadran Film', 'Franz Seitz Filmproduktion']","['West Germany', 'Poland', 'France', 'Yugoslavia']","['German', 'Hebrew', 'Italian', 'Polish', 'Russian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,The Maids of Wilko,Andrzej Wajda,"['Jarosław Iwaszkiewicz', 'Zbigniew Kamiński']",,Daniel Olbrychski,Edward Klosinski,,,,['4 September 1979'],118 minutes,Poland,Polish,118,1979-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Mamá cumple 100 años,Carlos Saura,"['Carlos Saura', 'Rafael Azcona']",Elías Querejeta,"['Geraldine Chaplin', 'Fernando Fernán Gómez', 'Rafaela Aparicio', 'Amparo Muñoz']",Luis Cuadrado,Pablo González del Amo,Luis de Pablo,,['17 September 1979'],100 minutes,Spain,Spanish,100,1979-09-17,7.2,N/A,,"Ana is alive and married with Antonio; they arrive in the manor in the countryside of Spain where she worked as a nanny many years ago, for the centennial birthday of the matriarch. In their reunion, she finds that Jose died three ye","Comedy, Drama, Fantasy",Nominated for 1 Oscar. 4 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,A Simple Story,Claude Sautet,"['Jean-Loup Dabadie', 'Claude Sautet']","['Claude Berri', 'Pierre Grunstein', 'Alain Sarde', 'Horst Wendlandt']",Romy Schneider,Jean Boffety,Jacqueline Thiédot,Philippe Sarde,AMLF,['22 November 1978'],107 minutes,,,107,1978-11-22,N/A,N/A,,N/A,N/A,N/A,,,,,,,"['France 3 Cinéma', 'Renn Productions', 'Rialto Film', 'Sara Films', 'Société Française de Production']","['France', 'West Germany']","['French', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,To forget Venice,Franco Brusati,"['Franco Brusati', 'Jaja Fiastri']",,"['Mariangela Melato', 'Erland Josephson', 'David Pontremoli', 'Eleonora Giorgi']",Romano Albani,,Benedetto Ghiglia,,['14 April 1979'],110 minutes,Italy,Italian,110,1979-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Moscow Does Not Believe In Tears,Vladimir Menshov,Valentin Chernykh,,"['Vera Alentova', 'Irina Muravyova', 'Raisa Ryazanova', 'Aleksey Batalov']",Igor Slabnevich,Yelena Mikhajlova,Sergey Nikitin,,11 February 1980,140 minutes,Soviet Union,Russian,140,1980-02-11,,,,,,,,,,Mosfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Bizalom,István Szabó,István Szabó,,,Lajos Koltai,Zsuzsa Csákány,,,['10 January 1980'],105 minutes,Hungary,Hungarian,105,1980-01-10,7.6,N/A,,During WW2 Hungarian resistance hides a married couple from the officials. The woman is sent to act as the wife of one of the resistance members who is also in hiding and pretending to be somebody else. They slowly begin to fall in l,Drama,Nominated for 1 Oscar. 2 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Kagemusha,Akira Kurosawa,,"['Akira Kurosawa', 'Tomoyuki Tanaka']",Tatsuya Nakadai,"['Takao Saito', 'Masaharu Ueda']",Akira Kurosawa (uncredited),Shin'ichirō Ikebe,"['Toho', '20th Century Fox']","['April 26, 1980 (Japan)']",180 minutes,,Japanese,180,1980-04-26,8.0,84,88%,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,"Drama, History, War",Nominated for 2 Oscars. 20 wins & 5 nominations total,"['Akira Kurosawa', 'Masato Ide']",,,,"['', 'or']",$33 million ( est. ),"['Kurosawa Production', 'Toho']",['Japan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,The Last Metro,François Truffaut,"['François Truffaut', 'Suzanne Schiffman', 'Jean-Claude Grumberg']","['François Truffaut', 'Jean-José Richer']","['Catherine Deneuve', 'Gérard Depardieu', 'Jean Poiret']",Néstor Almendros,Martine Barraqué,Georges Delerue,"['Gaumont', 'United Artists Classics']",['17 September 1980'],131 minutes,France,French,131,1980-09-17,N/A,N/A,,N/A,"Documentary, Short",N/A,,,,,,"['$23.3 million', '3,393,694 admissions (France)']","['Les Films du Carrosse', 'Andrea Films', 'SEDIF', 'SFP', 'TF1 Films Production']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,El Nido,Jaime de Armiñán,Jaime de Armiñán,,"['Héctor Alterio', 'Ana Torrent']",Teodoro Escamilla,José Luis Matesanz,Alejandro Massó,,['18 September 1980'],97 minutes,Spain,Spanish,97,1980-09-18,7.1,N/A,,"In a town near Salamanca, an eccentric widower, aged 60, is captivated by an imp, a precocious 13 year old. Alejandro is wealthy and alone, passing time with music, chess, and his shotgun. Gregoria (Goyita) the daughter of a weak-wil",Drama,Nominated for 1 Oscar. 7 wins & 1 nomination total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Mephisto,István Szabó,,Manfred Durniok,"['Klaus Maria Brandauer', 'Krystyna Janda', 'Ildikó Bánsági']",Lajos Koltai,Zsuzsa Csákán,Zdenko Tamassy,"['Analysis Film Releasing Corporation (U.S.)', 'Cinegate (U.K.)']","['29 April 1981 (Germany)', '8 October 1981 (Hungary)']",144 minutes,Hungary,,144,1981-04-29,7.8,N/A,78%,"In early-1930s Germany, a passionate stage actor finds himself before a dilemma: renounce his apolitical stance and comply with the Reich's doctrine, or face oblivion. But, Faustian bargains never end well. What is the price of succe",Drama,Won 1 Oscar. 15 wins & 5 nominations total,"['Peter Daibo', 'István Szabó']",Peter Daibo,"['Mephisto', 'by', 'Klaus Mann']",Mafilm,,,,,"['English', 'Hungarian', 'German', 'Esperanto']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,The Boat Is Full,Markus Imhoof,"['Markus Imhoof', 'Alfred A. Haesler']",George Reinhart,Tina Engel,Hans Liechti,,,,['February 1981'],101 minutes,Switzerland,German,101,1981-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Man of Iron,Andrzej Wajda,Aleksander Ścibor-Rylski,,"['Jerzy Radziwiłowicz', 'Krystyna Janda']",Edward Kłosiński,,,United Artists Classics,['27 July 1981'],153 minutes,Poland,Polish,153,1981-07-27,5.8,N/A,,"Steel mill foreman Chris Bennett (Barton MacLane) is well-liked by his men. His rapport with them leads to his promotion to general manager, and then vice-president, over Ed Tanahill (John Eldredge), cousin of Harrison Balding (Josep",Drama,N/A,,,,,,"$492,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Muddy River,Kōhei Oguri,Teru Miyamoto,Motoyasu Kimura,Takahiro Tamura,Shōhei Andō,,,,"['January 30, 1981']",105 minutes,Japan,Japanese,105,1981-01-30,N/A,N/A,,"The Zhuoshui River has many faces. She can be an arid desert as well as a writhing torrent. She is Taiwan's longest river, covering some 187 kilometers and spanning nearly half of the ...",Documentary,1 nomination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Three Brothers,Francesco Rosi,"['Tonino Guerra', 'Francesco Rosi']","['Giorgio Nocella', 'Antonio Macrì']","['Philippe Noiret', 'Michele Placido']",Pasqualino De Santis,Ruggero Mastroianni,"['Pino Daniele', 'Piero Piccioni']",,['15 May 1981 (France)'],113 minutes,,Italian,113,1981-05-15,5.8,N/A,,"Dissatisfied with being assigned to shoe consignment detail, Snafu learns about the true value of his responsibilities","Animation, Short",N/A,,,,,,,,"['Italy', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Volver a Empezar,José Luis Garci,"['José Luis Garci', 'Ángel Llorente']",José Luis Garci,"['Antonio Ferrandis', 'Encarna Paso']",Manuel Rojas,Miguel González Sinde,"['Johann Pachelbel', 'Cole Porter']",,['11 March 1982'],87 minutes,Spain,Spanish,87,1982-03-11,7.0,N/A,,A Nobel prize winner returns to his natal city looking for his home.,Drama,Won 1 Oscar. 4 wins & 1 nomination total,,,,Nickel Odeon,,"ESP 190,713,512 (Spain)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Alsino and the Condor,Miguel Littín,"['Miguel Littin', 'Tomas Perez Turrent', 'Isadora Aguirre']","['Ramiro Lacayo', 'Hernan Littin']","['Dean Stockwell', 'Alan Esquivel', 'Alejandro Parodi']","['Jorge Herrera', 'Pablo Martinez']",,Leo Brouwer,"['Médiathèque des Trois Mondes', 'Libra Cinema 5']",['1 May 1982 ( New York City )'],89 minutes,,,89,1982-05-01,,,,,,,,,"['Alsino', 'by', 'Pedro Prado']",,,,"['Instituto Nicaraguense de Cine (INCINE)', 'Productora Cinematográfica Latinoamericana de México', 'Cooperativa Cinematográfica Costarricense', 'Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC)', 'CRFC', 'Latin-American Film Releasing Corp.', 'NFI']","['Nicaragua', 'Mexico', 'Cuba']","['Spanish', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
