,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
276,The White Ribbon,Michael Haneke,Michael Haneke,"['Stefan Arndt', 'Veit Heiduschka', 'Michael Katz', 'Margaret Ménégoz', 'Andrea Occhipinti']","['Christian Friedel', 'Ulrich Tukur', 'Josef Bierbichler']",Christian Berger,Monika Willi,,"['Filmladen', 'X Verleih AG']",['21 May 2009 ( Cannes )'],144 minutes,,German,144,2009-05-21,,,,,,,,,,,18 million,19.3 million,"['Wega Film', 'X Filme']",,,Ernst Jacobi,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,In a Better World,Susanne Bier,"['Susanne Bier', 'Anders Thomas Jensen']",Sisse Graum Jørgensen,"['Mikael Persbrandt', 'Trine Dyrholm', 'Ulrich Thomsen', 'Markus Rygaard', 'William Jøhnk Juels Nielsen']",Morten Søborg,"['Pernille Bech Christensen', 'Morten Egholm']",Johan Söderqvist,Sony Pictures Classics,['26 August 2010'],118 minutes,,,118,2010-08-26,,,,,,,,,,Zentropa,US$5.5 million,"Worldwide: US$13,004,504",,"['Denmark', 'Sweden']","['Danish', 'Swedish', 'English', 'Arabic', 'Catalan', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Biutiful,Alejandro González Iñárritu,,"['Alejandro González Iñárritu', 'Jon Kilik', 'Fernando Bovaira', 'Ann Ruark', 'Sandra Hermida']","['Javier Bardem', 'Luo Jin', 'Maricel Álvarez', 'Hanaa Bouchaib', 'Guillermo Estrella', 'Diaryatou Daff', 'Cheng Tai Shen', 'Nasser Saleh']",Rodrigo Prieto,Stephen Mirrione,Gustavo Santaolalla,"['Videocine', 'United International Pictures']","['17 May 2010 ( Cannes )', '22 October 2010 (Mexico)', '3 December 2010 (Spain)']",147 minutes,,,147,2010-05-17,7.5,58,66%,A man dying of cancer tries his best to leave the world on his own terms.,"Drama, Romance",Nominated for 2 Oscars. 21 wins & 64 nominations total,"['Alejandro González Iñárritu', 'Armando Bó', 'Nicolás Giacobone']",Alejandro González Iñárritu,,,$35 million,$24.7 million,"['Televisió de Catalunya', 'Televisión Española', 'Cha Cha Cha Films', 'Focus Features International']","['Mexico', 'Spain']","['Spanish', 'Chinese', 'Wolof']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Dogtooth,Yorgos Lanthimos,"['Yorgos Lanthimos', 'Efthymis Filippou']","['Iraklis Mavroidis', 'Athina Rachel Tsangari', 'Yorgos Tsourianis']","['Christos Stergioglou', 'Michelle Valley', 'Angeliki Papoulia', 'Mary Tsoni', 'Christos Passalis', 'Anna Kalaitzidou']",Thimios Bakatakis,Yorgos Mavropsaridis,,Feelgood Entertainment,"['18 May 2009 ( Cannes )', '11 November 2009 (Greece)']",97 minutes,Greece,Greek,97,2009-05-18,N/A,N/A,,"A young women tries to help three children escape form their parents, who have kept them imprisoned and locked away from the outside world for their entire lives.",Thriller,N/A,,,,Boo Productions,"€250,000",$1.4 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Incendies,Denis Villeneuve,,"['Luc Déry', 'Kim McCraw']","['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Rémy Girard']",André Turpin,Monique Dartonne,Grégoire Hetzel,E1 Entertainment,"['4 September 2010 ( Telluride )', '17 September 2010 (Canada)']",130 minutes,Canada,,130,2010-09-04,8.3,80,92%,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Drama, Mystery, War",Nominated for 1 Oscar. 39 wins & 17 nominations total,"['Denis Villeneuve', 'Valérie Beaugrand-Champagne']",,"['Incendies', 'by', 'Wajdi Mouawad']",micro_scope,$6.5 million,$16 million,,,"['Arabic', 'French']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Outside the Law,Rachid Bouchareb,"['Rachid Bouchareb', 'Olivier Lorelle']",Jean Bréhat,"['Jamel Debbouze', 'Roschdy Zem', 'Sami Bouajila']",Christophe Beaucarne,Yannick Kergoat,Armand Amar,StudioCanal (France),"['21 May 2010 ( Cannes Film Festival )', '22 September 2010 (France)', '6 October 2010 (Algeria)']",137 minutes,,,137,2010-05-21,6.6,N/A,100%,"In this early collaboration with director Tod Browning (Dracula, Freaks), Chaney delivers a dual performance of dramatic intensity, starring as Ah Wing, a kind-hearted student of Confucian philosophy, and Black Mike Sylva, a murderou","Crime, Romance, Thriller",N/A,,,,Tessalit Productions,$22.6 million,$4 million,,"['France', 'Algeria', 'Tunisia', 'Belgium']","['French', 'Arabic']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,A Separation,Asghar Farhadi,Asghar Farhadi,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi', 'Shahab Hosseini', 'Kimiya Hosseini', 'Babak Karimi', 'Sareh Bayat', 'Sarina Farhadi', 'Merila Zarei']",Mahmoud Kalari,Hayedeh Safiyari,Sattar Oraki,Filmiran,"['15 February 2011 ( Berlin )', '16 March 2011 (Iran)']",123 minutes,Iran,Persian,123,2011-02-15,9.6,N/A,,"On a warm autumn day in 1990, Huixian, a young Chinese woman, arrives in Florida to reunite with her PhD husband, after a four-year separation. Filled with blossoming hope and desire, she is introduced to another side of American lif","Short, Drama",6 wins & 2 nominations,,,,,"$800,000",$24.4 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Bullhead,Michaël R. Roskam,Michaël R. Roskam,Savage Film,"['Matthias Schoenaerts', 'Jeroen Perceval', 'Barbara Sarafian']",Nicolas Karakatsanis,Alain Dessauvage,Raf Keunen,"['Kinepolis Film Distribution', 'Drafthouse Films']",['2 February 2011'],128 minutes,Belgium,,128,2011-02-02,N/A,N/A,,"Two brothers have made a pact to finish a deal in Bullhead City. On their travels through the desert, they meet a mysterious hitchhiker who tries to mend their ways.","Short, Drama",1 win,,,,,,"$151,840 (US)",,,"['Dutch', 'Limburgish', 'French']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Footnote,Joseph Cedar,Joseph Cedar,"['David Mandil', 'Moshe Edery', 'Leon Edery']","['Shlomo Bar Aba', 'Lior Ashkenazi']",Yaron Scharf,Einat Glaser Zarhin,Amit Poznansky,United King Films,"['14 May 2011 ( Cannes )', '2 June 2011 (Israel)']",107 minutes,Israel,Hebrew,107,2011-05-14,7.7,N/A,,N/A,Documentary,N/A,,,,,,$2 million,"['United King Films', 'Movie Plus']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,In Darkness,Agnieszka Holland,David F. Shamoon (based on In the Sewers of Lvov by Robert Marshall),"['Andrzej Besztak', 'Steffen Reuter', 'Patrick Knippel', 'Marc-Daniel Dichant', 'Leander Carell', 'Juliusz Machulski', 'Paul Stephens', 'Eric Jordan']","['Robert Więckiewicz', 'Benno Fürmann', 'Maria Schrader', 'Herbert Knaup']",Jolanta Dylewska,Mike Czarnecki,Antoni Komasa-Łazarkiewicz,Sony Pictures Classics,"['2 September 2011 ( Telluride (USA) )', '15 September 2011 (Poland)']",144 minutes,,,144,2011-09-02,5.8,59,47%,A blind musician hears a murder committed in the apartment upstairs from hers that sends her down a dark path into London's gritty criminal underworld.,"Mystery, Thriller",N/A,,,,,,,"Zebra Films, Schmidtz Katze Filmkollektiv, the Film Works","['Poland', 'Germany', 'Canada']","['Polish', 'German', 'Yiddish', 'Ukrainian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Monsieur Lazhar,Philippe Falardeau,,"['Luc Déry', 'Kim McCraw']","['Mohamed Fellag', 'Sophie Nélisse', 'Émilien Néron', 'Danielle Proulx', 'Brigitte Poupart', 'Jules Philip']",Ronald Plante,Stéphane Lafleur,"Martin Léon, Sherya Ghoshal","['Music Box Films', 'Christal Films', 'Arsenal Filmverleih', 'Agora Films', 'UGC International', 'Seville Pictures', 'A Contracorriente Films', 'Thim Film', 'Europafilm', 'Distribution Company']","['8 August 2011 ( Locarno )', '11 September 2011 ( TIFF )']",94 minutes,Canada,French,94,2011-08-08,7.5,82,97%,"At a Montréal public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed.","Comedy, Drama",Nominated for 1 Oscar. 30 wins & 13 nominations total,Philippe Falardeau,Évelyne de la Chenelière,"['Bashir Lazhar', 'by Évelyne de la Chenelière']",,,$9.1 million,"['Microscope Productions', 'Les Films Seville Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
